Plant,State,District,Climate_Season,Agri_Season,Month,Year,Soil_Type,Rainfall_Level,Festival,Expected_Yield_kg_per_acre,Growth_Score,Image_Class,Demand_Level,Price_Index,Supply_Level,Is_Perishable,Reason_for_Demand
Rice,Rajasthan,Rajasthan,Autumn,Kharif,October,2023,Red,Medium,Navratri,3250,74,4,9,10,8,0,Staple grain used widely in festive meals and offerings
Sesame,Sikkim,Sikkim,Autumn,Kharif,October,2023,Black,High,Navratri,666,66,4,3,1,6,0,Traditional consumption and cultural preference during this period
Sesame,Manipur,Manipur,Summer,Kharif,June,2021,Alluvial,Low,Rath Yatra,875,77,4,7,8,7,0,Traditional consumption and cultural preference during this period
Sugarcane,Madhya Pradesh,Madhya Pradesh,Winter,Rabi,January,2024,Black,Low,Lohri,39488,32,2,6,8,5,0,Harvest festival rituals use sugarcane heavily
Marigold,Jharkhand,Jharkhand,Summer,Kharif,April,2013,Alluvial,Medium,Ugadi,4938,75,4,5,2,8,1,Traditional consumption and cultural preference during this period
Wheat,Dadra & Nagar Haveli and Daman & Diu,Dadra & Nagar Haveli and Daman & Diu,Winter,Rabi,January,2018,Arid & Desert,High,Pongal,3158,84,5,3,4,6,0,Traditional consumption and cultural preference during this period
Millet,Assam,Assam,Spring,Rabi,March,2016,Red,High,Ram Navami,1527,48,3,6,5,4,0,Traditional consumption and cultural preference during this period
Millet,Delhi,Delhi,Summer,Kharif,June,2023,Red,Medium,Rath Yatra,1484,72,4,7,6,4,0,Traditional consumption and cultural preference during this period
Marigold,Arunachal Pradesh,Arunachal Pradesh,Winter,Rabi,January,2023,Red,Medium,Makar Sankranti,4924,32,2,9,10,6,1,Traditional consumption and cultural preference during this period
Sesame,Jammu & Kashmir,Jammu & Kashmir,Summer,Kharif,June,2014,Red,High,Rath Yatra,1130,76,4,5,7,4,0,Traditional consumption and cultural preference during this period
Sesame,Assam,Assam,Spring,Rabi,March,2019,Red,Medium,Holi,1106,63,4,6,6,4,0,Traditional consumption and cultural preference during this period
Wheat,Kerala,Kerala,Winter,Rabi,January,2021,Laterite,High,Makar Sankranti,3439,60,3,6,6,5,0,Traditional consumption and cultural preference during this period
Jasmine,Punjab,Punjab,Spring,Rabi,March,2015,Red,High,Holi,2441,30,2,8,6,6,1,Traditional consumption and cultural preference during this period
Sugarcane,Mizoram,Mizoram,Summer,Kharif,April,2024,Red,Low,Vishu,39707,76,4,6,7,4,0,Traditional consumption and cultural preference during this period
Groundnut,Delhi,Delhi,Autumn,Kharif,October,2024,Alluvial,High,Navratri,1160,56,3,3,1,4,0,Traditional consumption and cultural preference during this period
Banana,Uttarakhand,Uttarakhand,Winter,Rabi,January,2023,Alluvial,Medium,Pongal,3118,58,3,8,7,4,1,Banana fruits and leaves used in rituals and feasts
Cotton,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Autumn,Kharif,October,2022,Alluvial,Medium,Navratri,905,58,3,3,4,4,0,Used for diya wicks and traditional textiles
Marigold,Madhya Pradesh,Madhya Pradesh,Summer,Kharif,April,2010,Black,High,Wedding Season,4818,67,4,9,6,8,1,High floral demand for garlands and decorations
Jasmine,Meghalaya,Meghalaya,Spring,Rabi,March,2022,Red,Medium,Ram Navami,2738,43,3,7,5,7,1,Traditional consumption and cultural preference during this period
Turmeric,Jharkhand,Jharkhand,Summer,Kharif,April,2014,Red,Low,Ram Navami,2833,52,3,3,4,5,0,Traditional consumption and cultural preference during this period
Turmeric,Arunachal Pradesh,Arunachal Pradesh,Autumn,Kharif,October,2024,Laterite,High,Navratri,2578,55,3,10,10,6,0,Traditional consumption and cultural preference during this period
Marigold,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Winter,Rabi,December,2012,Arid & Desert,High,Christmas,5182,56,3,3,1,7,1,Traditional consumption and cultural preference during this period
Banana,Arunachal Pradesh,Arunachal Pradesh,Summer,Kharif,April,2023,Red,Medium,Vishu,3135,64,4,6,6,4,1,Banana fruits and leaves used in rituals and feasts
Sesame,Nagaland,Nagaland,Winter,Rabi,December,2015,Alluvial,Low,Christmas,667,46,3,7,5,5,0,Traditional consumption and cultural preference during this period
Marigold,Nagaland,Nagaland,Winter,Rabi,November,2024,Alluvial,Medium,Diwali,5030,32,2,9,10,4,1,High floral demand for garlands and decorations
Wheat,Jharkhand,Jharkhand,Winter,Rabi,February,2014,Red,Medium,Wedding Season,3030,53,3,4,4,5,0,Traditional consumption and cultural preference during this period
Rice,Jammu & Kashmir,Jammu & Kashmir,Autumn,Kharif,October,2011,Red,High,Diwali,3795,96,5,10,8,5,0,Staple grain used widely in festive meals and offerings
Groundnut,Punjab,Punjab,Winter,Rabi,November,2016,Alluvial,High,Wedding Season,1102,58,3,7,4,8,0,Traditional consumption and cultural preference during this period
Wheat,Gujarat,Gujarat,Autumn,Kharif,October,2021,Saline/Alkaline,Low,Navratri,3028,59,3,3,5,4,0,Traditional consumption and cultural preference during this period
Groundnut,Lakshadweep,Lakshadweep,Spring,Rabi,March,2024,Red,Low,Ram Navami,990,32,2,3,4,6,0,Traditional consumption and cultural preference during this period
Marigold,Kerala,Kerala,Winter,Rabi,December,2024,Red,High,Wedding Season,4939,42,3,9,9,5,1,High floral demand for garlands and decorations
Rice,Jammu & Kashmir,Jammu & Kashmir,Spring,Rabi,March,2012,Red,Medium,Holi,3689,35,2,8,8,4,0,Staple grain used widely in festive meals and offerings
Wheat,Bihar,Bihar,Autumn,Kharif,October,2023,Red,Low,Navratri,3102,35,2,4,4,7,0,Traditional consumption and cultural preference during this period
Sesame,Jharkhand,Jharkhand,Spring,Rabi,March,2018,Laterite,Medium,Holi,656,33,2,7,6,4,0,Traditional consumption and cultural preference during this period
Cotton,Uttar Pradesh,Uttar Pradesh,Summer,Kharif,April,2016,Alluvial,High,Ugadi,733,85,5,3,1,8,0,Traditional consumption and cultural preference during this period
Sugarcane,Uttarakhand,Uttarakhand,Spring,Rabi,March,2013,Laterite,Medium,Holi,40203,40,2,8,7,4,0,Traditional consumption and cultural preference during this period
Groundnut,Dadra & Nagar Haveli and Daman & Diu,Dadra & Nagar Haveli and Daman & Diu,Summer,Kharif,June,2014,Arid & Desert,Medium,Rath Yatra,1298,55,3,5,4,8,0,Traditional consumption and cultural preference during this period
Cotton,Mizoram,Mizoram,Winter,Rabi,January,2010,Black,Low,Lohri,955,54,3,3,5,5,0,Traditional consumption and cultural preference during this period
Turmeric,Puducherry,Puducherry,Autumn,Kharif,October,2013,Red,Medium,Dussehra,2831,65,4,6,7,4,0,Traditional consumption and cultural preference during this period
Turmeric,Andhra Pradesh,Andhra Pradesh,Winter,Rabi,December,2021,Alluvial,High,Christmas,2867,52,3,3,5,4,0,Traditional consumption and cultural preference during this period
Sugarcane,Arunachal Pradesh,Arunachal Pradesh,Autumn,Kharif,October,2010,Black,High,Navratri,40223,78,4,10,10,4,0,Traditional consumption and cultural preference during this period
Sugarcane,Chhattisgarh,Chhattisgarh,Summer,Kharif,April,2015,Black,Low,Wedding Season,39730,51,3,9,9,6,0,Traditional consumption and cultural preference during this period
Sugarcane,Puducherry,Puducherry,Summer,Kharif,May,2015,Red,High,Wedding Season,40442,86,5,9,8,7,0,Traditional consumption and cultural preference during this period
Sugarcane,Rajasthan,Rajasthan,Winter,Rabi,December,2022,Arid & Desert,Low,Wedding Season,39433,26,2,9,8,5,0,Traditional consumption and cultural preference during this period
Groundnut,Jammu & Kashmir,Jammu & Kashmir,Spring,Rabi,March,2022,Red,High,Ugadi,1191,32,2,5,7,6,0,Traditional consumption and cultural preference during this period
Millet,Dadra & Nagar Haveli and Daman & Diu,Dadra & Nagar Haveli and Daman & Diu,Spring,Rabi,March,2014,Arid & Desert,Medium,Ram Navami,1396,51,3,4,2,6,0,Traditional consumption and cultural preference during this period
Groundnut,Mizoram,Mizoram,Winter,Rabi,January,2018,Black,High,Pongal,1108,48,3,3,2,4,0,Traditional consumption and cultural preference during this period
Rice,Nagaland,Nagaland,Autumn,Kharif,October,2024,Red,Medium,Navratri,3659,58,3,10,10,4,0,Staple grain used widely in festive meals and offerings
Cotton,Dadra & Nagar Haveli and Daman & Diu,Dadra & Nagar Haveli and Daman & Diu,Winter,Rabi,January,2022,Alluvial,Low,Pongal,1038,65,4,6,5,6,0,Traditional consumption and cultural preference during this period
Groundnut,Rajasthan,Rajasthan,Autumn,Kharif,October,2021,Arid & Desert,Low,Navratri,1332,55,3,7,5,6,0,Traditional consumption and cultural preference during this period
Groundnut,Sikkim,Sikkim,Winter,Rabi,January,2018,Alluvial,Low,Lohri,1316,40,2,6,8,6,0,Traditional consumption and cultural preference during this period
Sesame,Arunachal Pradesh,Arunachal Pradesh,Summer,Kharif,April,2018,Black,High,Vishu,1092,77,4,7,6,5,0,Traditional consumption and cultural preference during this period
Rice,Gujarat,Gujarat,Summer,Kharif,April,2017,Alluvial,Low,Vishu,3055,56,3,7,6,4,0,Staple grain used widely in festive meals and offerings
Wheat,Assam,Assam,Summer,Kharif,April,2011,Alluvial,High,Vishu,3432,37,2,7,6,8,0,Traditional consumption and cultural preference during this period
Sugarcane,Uttarakhand,Uttarakhand,Spring,Rabi,March,2012,Black,High,Ram Navami,40508,62,4,6,7,4,0,Traditional consumption and cultural preference during this period
Cotton,Chandigarh,Chandigarh,Spring,Rabi,March,2020,Black,Medium,Holi,1091,66,4,4,6,7,0,Traditional consumption and cultural preference during this period
Millet,Rajasthan,Rajasthan,Autumn,Kharif,October,2017,Arid & Desert,Medium,Navratri,1431,79,4,7,6,6,0,Traditional consumption and cultural preference during this period
Wheat,Dadra & Nagar Haveli and Daman & Diu,Dadra & Nagar Haveli and Daman & Diu,Winter,Rabi,December,2024,Red,High,Christmas,3211,65,4,5,6,4,0,Traditional consumption and cultural preference during this period
Turmeric,Meghalaya,Meghalaya,Autumn,Kharif,October,2024,Laterite,High,Diwali,2737,60,3,10,10,5,0,Traditional consumption and cultural preference during this period
Millet,Tripura,Tripura,Spring,Rabi,March,2013,Red,Medium,Holi,1732,45,3,7,9,5,0,Traditional consumption and cultural preference during this period
Cotton,Uttarakhand,Uttarakhand,Spring,Rabi,March,2011,Red,Medium,Ugadi,712,46,3,6,4,4,0,Traditional consumption and cultural preference during this period
Wheat,Jammu & Kashmir,Jammu & Kashmir,Winter,Rabi,January,2013,Red,Medium,Makar Sankranti,3321,64,4,7,5,7,0,Traditional consumption and cultural preference during this period
Marigold,Odisha,Odisha,Autumn,Kharif,October,2022,Alluvial,Medium,Dussehra,5225,51,3,4,6,5,1,High floral demand for garlands and decorations
Sesame,Karnataka,Karnataka,Summer,Kharif,April,2023,Black,High,Ram Navami,1059,60,3,7,7,4,0,Traditional consumption and cultural preference during this period
Marigold,Meghalaya,Meghalaya,Winter,Rabi,January,2014,Alluvial,Low,Pongal,5174,33,2,10,10,7,1,Traditional consumption and cultural preference during this period
Sugarcane,Puducherry,Puducherry,Summer,Kharif,April,2018,Red,Low,Vishu,39497,74,4,7,7,7,0,Traditional consumption and cultural preference during this period
Sesame,Madhya Pradesh,Madhya Pradesh,Winter,Rabi,January,2022,Black,Low,Pongal,819,33,2,5,7,5,0,Traditional consumption and cultural preference during this period
Cotton,Tripura,Tripura,Winter,Rabi,December,2018,Black,Low,Christmas,957,48,3,4,3,8,0,Traditional consumption and cultural preference during this period
Groundnut,Kerala,Kerala,Winter,Rabi,January,2015,Laterite,Medium,Makar Sankranti,1230,41,3,7,7,4,0,Traditional consumption and cultural preference during this period
Sugarcane,Punjab,Punjab,Winter,Rabi,December,2011,Alluvial,High,Christmas,40256,66,4,5,5,7,0,Traditional consumption and cultural preference during this period
Jasmine,Sikkim,Sikkim,Spring,Rabi,March,2020,Alluvial,Medium,Holi,2417,58,3,9,8,7,1,Traditional consumption and cultural preference during this period
Marigold,Rajasthan,Rajasthan,Spring,Rabi,March,2017,Arid & Desert,Low,Ram Navami,5197,50,3,5,4,8,1,Traditional consumption and cultural preference during this period
Millet,Puducherry,Puducherry,Autumn,Kharif,October,2016,Laterite,Low,Navratri,1717,52,3,3,1,8,0,Traditional consumption and cultural preference during this period
Sesame,Karnataka,Karnataka,Spring,Rabi,March,2020,Black,High,Holi,800,29,2,6,6,5,0,Traditional consumption and cultural preference during this period
Jasmine,Jammu & Kashmir,Jammu & Kashmir,Autumn,Kharif,October,2024,Alluvial,Low,Dussehra,2396,81,5,7,8,7,1,High floral demand for garlands and decorations
Groundnut,Andhra Pradesh,Andhra Pradesh,Winter,Rabi,January,2018,Alluvial,High,Pongal,1360,52,3,4,3,5,0,Traditional consumption and cultural preference during this period
Wheat,Kerala,Kerala,Summer,Kharif,June,2018,Black,High,Rath Yatra,2963,33,2,3,4,5,0,Traditional consumption and cultural preference during this period
Millet,Madhya Pradesh,Madhya Pradesh,Winter,Rabi,January,2016,Black,Low,Lohri,1544,45,3,5,7,4,0,Traditional consumption and cultural preference during this period
Groundnut,Telangana,Telangana,Summer,Kharif,June,2012,Saline/Alkaline,Medium,Rath Yatra,1435,62,4,7,8,6,0,Traditional consumption and cultural preference during this period
Sesame,Chandigarh,Chandigarh,Summer,Kharif,April,2017,Red,Medium,Wedding Season,955,73,4,6,6,5,0,Traditional consumption and cultural preference during this period
Millet,West Bengal,West Bengal,Winter,Rabi,November,2023,Alluvial,High,Diwali,1508,52,3,5,5,4,0,Traditional consumption and cultural preference during this period
Jasmine,Dadra & Nagar Haveli and Daman & Diu,Dadra & Nagar Haveli and Daman & Diu,Winter,Rabi,November,2023,Alluvial,Low,Wedding Season,2508,32,2,8,7,4,1,High floral demand for garlands and decorations
Rice,Andhra Pradesh,Andhra Pradesh,Summer,Kharif,April,2013,Alluvial,Medium,Vishu,3403,85,5,3,3,7,0,Staple grain used widely in festive meals and offerings
Jasmine,Assam,Assam,Summer,Kharif,April,2023,Alluvial,High,Vishu,2478,52,3,6,5,6,1,Traditional consumption and cultural preference during this period
Groundnut,Lakshadweep,Lakshadweep,Summer,Kharif,April,2016,Arid & Desert,High,Ugadi,1030,78,4,7,5,4,0,Traditional consumption and cultural preference during this period
Rice,Kerala,Kerala,Summer,Kharif,May,2011,Red,High,Wedding Season,3996,92,5,10,9,8,0,Staple grain used widely in festive meals and offerings
Banana,Rajasthan,Rajasthan,Winter,Rabi,January,2013,Alluvial,Low,Pongal,3125,44,3,9,10,6,1,Banana fruits and leaves used in rituals and feasts
Sesame,Chandigarh,Chandigarh,Summer,Kharif,April,2013,Red,Medium,Ram Navami,1129,63,4,7,5,5,0,Traditional consumption and cultural preference during this period
Banana,Karnataka,Karnataka,Winter,Rabi,December,2020,Red,High,Christmas,3187,51,3,7,8,4,1,Traditional consumption and cultural preference during this period
Cotton,Manipur,Manipur,Autumn,Kharif,October,2010,Laterite,Low,Diwali,1027,64,4,3,4,5,0,Used for diya wicks and traditional textiles
Rice,Lakshadweep,Lakshadweep,Winter,Rabi,December,2011,Arid & Desert,Medium,Christmas,3598,45,3,5,4,7,0,Staple grain used widely in festive meals and offerings
Groundnut,Nagaland,Nagaland,Summer,Kharif,April,2023,Red,Low,Ugadi,1402,69,4,5,6,8,0,Traditional consumption and cultural preference during this period
Marigold,Delhi,Delhi,Winter,Rabi,December,2014,Alluvial,High,Christmas,5103,34,2,7,7,6,1,Traditional consumption and cultural preference during this period
Marigold,Ladakh,Ladakh,Spring,Rabi,March,2024,Arid & Desert,Medium,Holi,5069,44,3,9,9,8,1,Traditional consumption and cultural preference during this period
Turmeric,Meghalaya,Meghalaya,Spring,Rabi,March,2020,Red,Medium,Ram Navami,3041,58,3,5,5,6,0,Traditional consumption and cultural preference during this period
Marigold,Puducherry,Puducherry,Autumn,Kharif,October,2013,Alluvial,High,Navratri,5146,71,4,10,10,5,1,High floral demand for garlands and decorations
Rice,Punjab,Punjab,Summer,Kharif,April,2024,Saline/Alkaline,High,Vishu,3863,84,5,4,4,8,0,Staple grain used widely in festive meals and offerings
Jasmine,Gujarat,Gujarat,Winter,Rabi,January,2023,Alluvial,Low,Pongal,2254,38,2,9,10,7,1,Traditional consumption and cultural preference during this period
Marigold,Uttar Pradesh,Uttar Pradesh,Autumn,Kharif,October,2013,Alluvial,Medium,Navratri,4756,82,5,8,9,7,1,High floral demand for garlands and decorations
Rice,Odisha,Odisha,Autumn,Kharif,October,2017,Alluvial,High,Diwali,3928,89,5,9,7,6,0,Staple grain used widely in festive meals and offerings
Millet,Rajasthan,Rajasthan,Winter,Rabi,January,2016,Alluvial,Low,Lohri,1293,43,3,5,3,6,0,Traditional consumption and cultural preference during this period
Millet,West Bengal,West Bengal,Winter,Rabi,January,2011,Red,Medium,Makar Sankranti,1280,42,3,3,4,6,0,Traditional consumption and cultural preference during this period
Sugarcane,Mizoram,Mizoram,Winter,Rabi,December,2011,Alluvial,Low,Christmas,39427,24,2,6,4,6,0,Traditional consumption and cultural preference during this period
Jasmine,Arunachal Pradesh,Arunachal Pradesh,Winter,Rabi,January,2010,Red,High,Lohri,2482,35,2,4,4,5,1,Traditional consumption and cultural preference during this period
Rice,Madhya Pradesh,Madhya Pradesh,Winter,Rabi,December,2023,Black,High,Christmas,3756,41,3,3,5,7,0,Staple grain used widely in festive meals and offerings
Jasmine,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Spring,Rabi,March,2016,Arid & Desert,Low,Ugadi,2282,47,3,5,3,5,1,Traditional consumption and cultural preference during this period
Millet,Jammu & Kashmir,Jammu & Kashmir,Winter,Rabi,November,2021,Red,Low,Diwali,1432,31,2,5,3,5,0,Traditional consumption and cultural preference during this period
Jasmine,Arunachal Pradesh,Arunachal Pradesh,Summer,Kharif,April,2015,Black,Medium,Ram Navami,2276,63,4,4,2,5,1,Traditional consumption and cultural preference during this period
Banana,Lakshadweep,Lakshadweep,Summer,Kharif,April,2011,Alluvial,Low,Ugadi,3118,66,4,7,8,6,1,Traditional consumption and cultural preference during this period
Wheat,Mizoram,Mizoram,Autumn,Kharif,October,2017,Laterite,Medium,Navratri,3170,49,3,3,1,8,0,Traditional consumption and cultural preference during this period
Turmeric,Sikkim,Sikkim,Winter,Rabi,January,2011,Laterite,Low,Pongal,2923,30,2,8,10,7,0,Turmeric used in auspicious rituals and ceremonies
Rice,Jharkhand,Jharkhand,Spring,Rabi,March,2018,Alluvial,Low,Ugadi,3334,56,3,6,8,4,0,Staple grain used widely in festive meals and offerings
Cotton,Karnataka,Karnataka,Summer,Kharif,June,2021,Laterite,High,Rath Yatra,732,77,4,5,5,4,0,Traditional consumption and cultural preference during this period
Cotton,Bihar,Bihar,Spring,Rabi,March,2010,Alluvial,Medium,Ugadi,826,53,3,5,3,7,0,Traditional consumption and cultural preference during this period
Cotton,Himachal Pradesh,Himachal Pradesh,Autumn,Kharif,October,2014,Laterite,High,Navratri,844,63,4,3,1,8,0,Used for diya wicks and traditional textiles
Wheat,Dadra & Nagar Haveli and Daman & Diu,Dadra & Nagar Haveli and Daman & Diu,Autumn,Kharif,October,2010,Alluvial,Low,Navratri,3179,39,2,6,4,7,0,Traditional consumption and cultural preference during this period
Marigold,Karnataka,Karnataka,Winter,Rabi,November,2016,Black,High,Wedding Season,5228,52,3,8,6,7,1,High floral demand for garlands and decorations
Turmeric,Jammu & Kashmir,Jammu & Kashmir,Summer,Kharif,June,2013,Red,Low,Rath Yatra,2702,61,4,6,5,6,0,Traditional consumption and cultural preference during this period
Turmeric,Himachal Pradesh,Himachal Pradesh,Winter,Rabi,December,2015,Red,Medium,Christmas,3015,60,3,5,6,6,0,Traditional consumption and cultural preference during this period
Turmeric,Kerala,Kerala,Spring,Rabi,March,2022,Alluvial,High,Holi,2817,49,3,8,7,7,0,Traditional consumption and cultural preference during this period
Wheat,Mizoram,Mizoram,Summer,Kharif,April,2021,Red,Medium,Vishu,3123,33,2,5,4,5,0,Traditional consumption and cultural preference during this period
Cotton,Mizoram,Mizoram,Summer,Kharif,April,2014,Red,High,Vishu,906,60,3,6,7,4,0,Traditional consumption and cultural preference during this period
Cotton,Arunachal Pradesh,Arunachal Pradesh,Winter,Rabi,January,2014,Alluvial,Medium,Pongal,773,47,3,6,4,4,0,Traditional consumption and cultural preference during this period
Millet,Arunachal Pradesh,Arunachal Pradesh,Spring,Rabi,March,2020,Black,High,Wedding Season,1704,56,3,3,4,8,0,Traditional consumption and cultural preference during this period
Millet,Assam,Assam,Winter,Rabi,November,2013,Alluvial,High,Wedding Season,1262,37,2,3,4,5,0,Traditional consumption and cultural preference during this period
Turmeric,Himachal Pradesh,Himachal Pradesh,Winter,Rabi,December,2018,Red,Medium,Christmas,2864,54,3,7,7,8,0,Traditional consumption and cultural preference during this period
Banana,Chhattisgarh,Chhattisgarh,Winter,Rabi,January,2016,Laterite,Low,Pongal,3213,47,3,8,6,5,1,Banana fruits and leaves used in rituals and feasts
Wheat,Uttarakhand,Uttarakhand,Autumn,Kharif,July,2022,Red,Low,Rath Yatra,3007,56,3,4,2,7,0,Traditional consumption and cultural preference during this period
Turmeric,Madhya Pradesh,Madhya Pradesh,Autumn,Kharif,October,2023,Black,Low,Navratri,2764,75,4,9,7,6,0,Traditional consumption and cultural preference during this period
Rice,Himachal Pradesh,Himachal Pradesh,Autumn,Kharif,October,2021,Red,High,Navratri,3900,91,5,8,6,4,0,Staple grain used widely in festive meals and offerings
Banana,Arunachal Pradesh,Arunachal Pradesh,Winter,Rabi,January,2021,Laterite,Low,Makar Sankranti,3170,56,3,9,10,6,1,Traditional consumption and cultural preference during this period
Banana,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Summer,Kharif,April,2016,Alluvial,High,Wedding Season,3116,62,4,8,9,5,1,Banana fruits and leaves used in rituals and feasts
Groundnut,Manipur,Manipur,Winter,Rabi,January,2020,Black,Low,Lohri,1157,33,2,4,4,7,0,Traditional consumption and cultural preference during this period
Marigold,Rajasthan,Rajasthan,Autumn,Kharif,October,2024,Arid & Desert,Medium,Dussehra,4796,61,4,3,1,5,1,High floral demand for garlands and decorations
Jasmine,Uttar Pradesh,Uttar Pradesh,Winter,Rabi,January,2020,Alluvial,Medium,Makar Sankranti,2495,55,3,10,10,5,1,Traditional consumption and cultural preference during this period
Wheat,Andhra Pradesh,Andhra Pradesh,Autumn,Kharif,October,2016,Alluvial,Medium,Dussehra,3257,46,3,6,6,6,0,Traditional consumption and cultural preference during this period
Rice,Telangana,Telangana,Winter,Rabi,November,2024,Alluvial,Medium,Diwali,3280,40,2,9,10,6,0,Staple grain used widely in festive meals and offerings
Marigold,Jharkhand,Jharkhand,Winter,Rabi,January,2010,Black,Medium,Makar Sankranti,5099,37,2,10,9,6,1,Traditional consumption and cultural preference during this period
Millet,Karnataka,Karnataka,Summer,Kharif,April,2020,Black,High,Ram Navami,1347,61,4,5,6,6,0,Traditional consumption and cultural preference during this period
Sugarcane,Gujarat,Gujarat,Winter,Rabi,November,2010,Red,Low,Diwali,39493,28,2,10,9,4,0,Traditional consumption and cultural preference during this period
Jasmine,Tripura,Tripura,Autumn,Kharif,October,2016,Laterite,Medium,Diwali,2530,60,3,9,9,5,1,High floral demand for garlands and decorations
Turmeric,Dadra & Nagar Haveli and Daman & Diu,Dadra & Nagar Haveli and Daman & Diu,Winter,Rabi,January,2016,Arid & Desert,High,Makar Sankranti,2839,45,3,10,10,7,0,Traditional consumption and cultural preference during this period
Groundnut,Gujarat,Gujarat,Summer,Kharif,April,2012,Alluvial,Low,Vishu,1366,76,4,3,4,6,0,Traditional consumption and cultural preference during this period
Rice,Dadra & Nagar Haveli and Daman & Diu,Dadra & Nagar Haveli and Daman & Diu,Winter,Rabi,December,2015,Arid & Desert,High,Christmas,3811,57,3,5,3,4,0,Staple grain used widely in festive meals and offerings
Cotton,Chandigarh,Chandigarh,Autumn,Kharif,October,2019,Red,Low,Diwali,1024,63,4,3,5,5,0,Used for diya wicks and traditional textiles
Millet,Dadra & Nagar Haveli and Daman & Diu,Dadra & Nagar Haveli and Daman & Diu,Winter,Rabi,November,2019,Arid & Desert,Low,Wedding Season,1375,37,2,6,8,4,0,Traditional consumption and cultural preference during this period
Banana,Himachal Pradesh,Himachal Pradesh,Winter,Rabi,December,2013,Red,Medium,Wedding Season,2954,45,3,10,10,6,1,Banana fruits and leaves used in rituals and feasts
Millet,Jammu & Kashmir,Jammu & Kashmir,Summer,Kharif,April,2017,Alluvial,Low,Vishu,1343,62,4,3,5,6,0,Traditional consumption and cultural preference during this period
Cotton,Dadra & Nagar Haveli and Daman & Diu,Dadra & Nagar Haveli and Daman & Diu,Summer,Kharif,April,2022,Arid & Desert,Low,Ram Navami,832,65,4,7,5,6,0,Traditional consumption and cultural preference during this period
Marigold,Puducherry,Puducherry,Spring,Rabi,March,2019,Red,Medium,Ram Navami,4849,30,2,7,5,8,1,Traditional consumption and cultural preference during this period
Rice,Assam,Assam,Autumn,Kharif,October,2024,Alluvial,High,Dussehra,3730,97,5,7,6,8,0,Staple grain used widely in festive meals and offerings
Turmeric,Maharashtra,Maharashtra,Summer,Kharif,June,2024,Black,High,Rath Yatra,2664,65,4,7,4,8,0,Traditional consumption and cultural preference during this period
Turmeric,Manipur,Manipur,Autumn,Kharif,October,2013,Red,Low,Dussehra,2768,68,4,5,6,6,0,Traditional consumption and cultural preference during this period
Groundnut,Ladakh,Ladakh,Autumn,Kharif,July,2018,Arid & Desert,Low,Rath Yatra,1319,60,3,3,1,8,0,Traditional consumption and cultural preference during this period
Groundnut,Lakshadweep,Lakshadweep,Winter,Rabi,December,2023,Arid & Desert,Low,Christmas,1264,33,2,6,8,5,0,Traditional consumption and cultural preference during this period
Cotton,Jammu & Kashmir,Jammu & Kashmir,Summer,Kharif,April,2017,Laterite,High,Vishu,682,59,3,5,5,4,0,Traditional consumption and cultural preference during this period
Marigold,Chandigarh,Chandigarh,Autumn,Kharif,October,2016,Red,Low,Diwali,4801,65,4,10,10,5,1,High floral demand for garlands and decorations
Sugarcane,Sikkim,Sikkim,Winter,Rabi,January,2016,Laterite,Medium,Makar Sankranti,40224,61,4,8,6,4,0,Harvest festival rituals use sugarcane heavily
Wheat,Jharkhand,Jharkhand,Summer,Kharif,April,2011,Laterite,High,Ram Navami,2950,43,3,4,4,6,0,Traditional consumption and cultural preference during this period
Turmeric,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Spring,Rabi,March,2024,Red,Medium,Holi,2709,54,3,8,8,6,0,Traditional consumption and cultural preference during this period
Turmeric,Madhya Pradesh,Madhya Pradesh,Autumn,Kharif,October,2018,Black,Low,Navratri,2717,59,3,8,6,7,0,Traditional consumption and cultural preference during this period
Groundnut,Chhattisgarh,Chhattisgarh,Winter,Rabi,January,2017,Black,Low,Pongal,1093,50,3,5,4,8,0,Traditional consumption and cultural preference during this period
Sugarcane,Arunachal Pradesh,Arunachal Pradesh,Summer,Kharif,April,2016,Black,Medium,Ram Navami,40000,84,5,7,9,7,0,Traditional consumption and cultural preference during this period
Sugarcane,Himachal Pradesh,Himachal Pradesh,Spring,Rabi,March,2011,Black,Low,Ram Navami,39750,35,2,6,5,4,0,Traditional consumption and cultural preference during this period
Millet,Haryana,Haryana,Winter,Rabi,February,2019,Alluvial,Medium,Wedding Season,1648,41,3,4,2,7,0,Traditional consumption and cultural preference during this period
Groundnut,Gujarat,Gujarat,Winter,Rabi,January,2010,Alluvial,Low,Lohri,970,51,3,6,4,8,0,Traditional consumption and cultural preference during this period
Cotton,Jharkhand,Jharkhand,Autumn,Kharif,October,2023,Alluvial,High,Dussehra,944,81,5,5,6,7,0,Traditional consumption and cultural preference during this period
Cotton,Meghalaya,Meghalaya,Autumn,Kharif,October,2011,Red,Low,Navratri,851,85,5,4,4,8,0,Used for diya wicks and traditional textiles
Banana,Jammu & Kashmir,Jammu & Kashmir,Winter,Rabi,January,2024,Black,Medium,Makar Sankranti,3036,53,3,10,10,4,1,Traditional consumption and cultural preference during this period
